Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,USD,GOOG,"2025-05-12, 13:11:08",50,160,159.58,-8000,-1.0919075,8001.091908,0,-21,O
Trades,Data,Order,Stocks,USD,GOOGL,"2025-02-05, 13:20:20",50,190.769,191.33,-9538.45,-1.092507,9539.542507,0,28.05,IA;O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-02, 13:33:06",400,17,17.21,-6800,-2.19526,6802.19526,0,84,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-02, 14:03:05",-400,17.15,17.21,6860,-2.47550772,-9662.295889,-2804.771396,-24,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-06, 10:53:59",-500,20.52,20.55,10260,-3.14544352,-11417.6562,-1160.801643,-15,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-07, 10:38:06",400,19.15,19.07,-7660,-2.19526,7662.19526,0,-32,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-07, 10:53:51",-400,19.4,19.07,7760,-2.50277952,-8002.200928,-244.703708,132,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-08, 11:55:45",500,18.15,18.34,-9075,-2.744075,9077.744075,0,95,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-08, 13:26:56",-500,18.4,18.34,9200,-3.1133234,-8802.745492,394.141184,30,C;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-10, 12:04:12",600,17.55,17.86,-10530,-3.29289,10533.29289,0,186,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-10, 12:56:30",-600,17.9,17.86,10740,-3.72689748,-11293.29289,-557.019788,24,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-13, 09:30:02",600,17,17.19,-10200,-3.29289,10203.29289,0,114,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-13, 09:51:46",-600,17.2,17.19,10320,-3.71417064,-10713.36058,-397.074749,6,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-13, 11:30:00",600,16.9,17.19,-10140,-3.29289,10143.29289,0,174,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-13, 15:45:39",-600,17.1,17.19,10260,-3.71235252,-10368.2252,-111.937552,-54,C;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-14, 09:30:02",-500,17.93,17.36,8965,-3.11219743,-8482.744075,479.143728,285,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-14, 09:31:46",500,17.8,17.36,-8900,-2.744075,8902.744075,0,-220,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-14, 10:10:12",100,17.895,17.36,-1789.5,-1.095014,1790.595014,0,-53.5,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-14, 10:10:35",400,17.835,17.36,-7134,-2.200056,7136.200056,0,-190,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-15, 09:30:01",-100,18.14,18.15,1814,-1.16687683,-1690.548815,122.284308,-1,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-15, 10:20:21",-400,18.23225,18.15,7292.9,-2.49222246,-6852.19526,438.212517,32.9,C;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-16, 09:45:51",500,17.9,18.3,-8950,-2.744075,8952.744075,0,200,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-16, 09:53:12",-500,18.12,18.3,9060,-3.10908112,-8912.790274,144.100646,-90,C;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-17, 09:40:05",500,19.3,19.91,-9650,-2.744075,9652.744075,0,305,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-17, 09:55:02",-500,19.5,19.91,9750,-3.1299895,-8926.748871,820.121139,-205,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-17, 09:59:26",500,19.35,19.91,-9675,-2.744075,9677.744075,0,280,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-17, 10:00:22",-500,19.5,19.91,9750,-3.1299895,-9092.744075,654.125936,-205,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-17, 12:51:50",500,20.45,19.91,-10225,-2.744075,10227.74408,0,-270,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-17, 13:21:49",-500,20.65,19.91,10325,-3.14741315,-9657.744075,664.108511,370,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-22, 13:32:20",500,19.5,19.69,-9750,-2.744075,9752.744075,0,95,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-22, 13:37:07",-500,19.6,19.69,9800,-3.1315046,-9787.744075,9.12442,-45,C;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-22, 13:45:55",500,19.5,19.69,-9750,-2.744075,9752.744075,0,95,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-22, 13:50:39",-500,19.6,19.69,9800,-3.1315046,-10132.74408,-335.87558,-45,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-22, 14:23:48",500,20,19.69,-10000,-2.744075,10002.74408,0,-155,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-23, 09:46:45",-500,20.12,19.95,10060,-3.13938312,-9752.744075,304.116542,85,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-23, 14:14:34",400,19.85,19.95,-7940,-2.19526,7942.19526,0,40,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-23, 14:14:34",100,19.85,19.95,-1985,-1.093815,1986.093815,0,10,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-23, 15:24:14",-100,19.98,19.95,1998,-1.1724524,-1950.548815,46.278732,3,C;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-23, 15:24:14",-400,19.98,19.95,7992,-2.50980958,-7852.19526,137.294931,12,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 09:51:04",500,19.9,19.99,-9950,-2.744075,9952.744075,0,45,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 09:55:27",-500,20.02,19.99,10010,-3.13786802,-9988.404722,18.45741,15,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 10:15:08",500,20.1,19.99,-10050,-2.744075,10052.74408,0,-55,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 10:19:26",-500,20.25,19.99,10125,-3.14135275,-9932.628428,189.230218,130,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 10:28:45",500,20.3,19.99,-10150,-2.744075,10152.74408,0,-155,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 10:40:45",-500,20.4,19.99,10200,-3.1436254,-9972.744076,224.1123,205,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 12:42:02",500,21,19.99,-10500,-2.744075,10502.74408,0,-505,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 12:45:05",-500,21.1,19.99,10550,-3.1542311,-10072.74408,474.101694,555,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 13:12:16",500,20.9,19.99,-10450,-2.744075,10452.74408,0,-455,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 13:15:17",-500,21,19.99,10500,-3.152716,-10222.74408,274.103209,505,C;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 13:46:39",500,20.9,19.99,-10450,-2.744075,10452.74408,0,-455,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-24, 13:52:35",-500,21,19.99,10500,-3.152716,-10492.74408,4.103209,505,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-27, 09:38:38",500,18.585,18.285,-9292.5,-2.75007,9295.25007,0,-150,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-27, 09:43:05",-500,18.7,18.285,9350,-3.1178687,-10452.74408,-1105.861944,207.5,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-27, 10:08:12",500,19.125,18.285,-9562.5,-2.75007,9565.25007,0,-420,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-30, 09:33:21",-500,19.3,19.18,9650,-3.1269593,-10221.24527,-574.372233,60,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-30, 10:41:32",500,19.245,19.18,-9622.5,-2.75007,9625.25007,0,-32.5,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-30, 10:47:06",-500,19.4,19.18,9700,-3.1284744,-9349.25007,347.621455,110,C
Trades,Data,Order,Stocks,USD,MARA,"2025-01-30, 10:54:38",500,19.3,19.18,-9650,-2.744075,9652.744075,0,-60,O
Trades,Data,Order,Stocks,USD,MARA,"2025-01-30, 11:25:30",-500,19.42,19.18,9710,-3.12877742,-9577.250069,129.621153,120,C;P
Trades,Data,Order,Stocks,USD,MARA,"2025-01-30, 15:13:15",500,19.4,19.18,-9700,-2.744075,9702.744075,0,-110,O
Trades,Data,Order,Stocks,USD,MARA,"2025-02-03, 09:30:02",500,16.92,17.95,-8460,-2.744075,8462.744075,0,515,O
Trades,Data,Order,Stocks,USD,MARA,"2025-02-03, 09:31:02",-500,17.12,17.95,8560,-3.09393012,-9630.748871,-1073.842801,-415,C
Trades,Data,Order,Stocks,USD,MARA,"2025-02-21, 10:12:05",350,16.225,14.66,-5678.75,-1.925049,5680.675049,0,-547.75,O
Trades,Data,Order,Stocks,USD,MARA,"2025-05-12, 09:53:59",-350,16.6,15.95,5810,-2.16023612,-6756.920853,-949.081089,227.5,C
Trades,Data,Order,Stocks,USD,MARA,"2025-05-12, 11:56:47",500,16,15.95,-8000,-2.744075,8002.744075,0,-25,O
Trades,Data,Order,Stocks,USD,MARA,"2025-05-12, 13:13:19",-500,16.11,15.95,8055,-3.07862761,-9697.744076,-1645.822702,80,C
Trades,Data,Order,Stocks,USD,MARA,"2025-05-12, 13:22:49",500,15.95,15.95,-7975,-2.744075,7977.744075,0,0,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-05-12, 13:30:19",-500,16.05,15.95,8025,-3.07771855,-8586.744076,-564.821793,50,C
Trades,Data,Order,Stocks,USD,MARA,"2025-05-13, 13:37:42",500,16.1,16.37,-8050,-2.744075,8052.744075,0,135,O
Trades,Data,Order,Stocks,USD,MARA,"2025-05-13, 13:47:25",-500,16.2,16.37,8100,-3.0799912,-8127.498272,-30.578263,-85,C;P
Trades,Data,Order,Stocks,USD,MARA,"2025-05-14, 13:16:52",500,15.9,15.87,-7950,-2.744075,7952.744075,0,-15,O
Trades,Data,Order,Stocks,USD,MARA,"2025-05-14, 15:33:30",-500,16.05,15.87,8025,-2.834545,-7998.289074,23.876381,90,C
Trades,Data,Order,Stocks,USD,MARA,"2025-05-15, 10:30:53",-400,15.405,15.68,6162,-2.272432,-6381.650261,-221.922693,-110,C
Trades,Data,Order,Stocks,USD,MARA,"2025-05-21, 13:43:45",600,15.99,15.84,-9594,-3.29289,9597.29289,0,-90,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-05-22, 09:30:01",-600,16.7,15.65,10020,-3.401454,-9643.29289,373.305656,630,C
Trades,Data,Order,Stocks,USD,MARA,"2025-05-23, 09:30:01",400,14.98,14.73,-5992,-2.19526,5994.19526,0,-100,O
Trades,Data,Order,Stocks,USD,MARA,"2025-05-23, 14:20:06",600,15.1,14.73,-9060,-3.29289,9063.29289,0,-222,O
Trades,Data,Order,Stocks,USD,MARA,"2025-05-27, 09:30:00",-600,15.26,16.44,9156,-3.401454,-9561.839931,-409.241385,-708,C
Trades,Data,Order,Stocks,USD,MARA,"2025-05-27, 14:51:30",500,16.18,16.44,-8090,-2.744075,8092.744075,0,130,O
Trades,Data,Order,Stocks,USD,MARA,"2025-05-27, 15:47:10",-500,16.3,16.44,8150,-2.834545,-7896.197034,250.968421,-70,C
Trades,Data,Order,Stocks,USD,MARA,"2025-05-29, 12:17:24",500,14.795,14.61,-7397.5,-2.75007,7400.25007,0,-92.5,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-06-03, 10:27:20",-500,15,15.33,7500,-2.834545,-7516.744075,-19.57862,-165,C
Trades,Data,Order,Stocks,USD,MARA,"2025-06-09, 10:42:06",500,15.6,16.27,-7800,-2.744075,7802.744075,0,335,O
Trades,Data,Order,Stocks,USD,MARA,"2025-06-09, 12:30:29",-500,15.8,16.27,7900,-2.834545,-7660.744075,236.42138,-235,C
Trades,Data,Order,Stocks,USD,MARA,"2025-06-10, 10:44:11",-500,16.15,16.49,8075,-2.834545,-7954.245274,117.920181,-170,C
Trades,Data,Order,Stocks,USD,MARA,"2025-06-11, 14:04:10",500,16.04,16.35,-8020,-2.744075,8022.744075,0,155,O
Trades,Data,Order,Stocks,USD,MARA,"2025-06-12, 09:31:05",500,15.8,15.82,-7900,-2.744075,7902.744075,0,10,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-06-12, 10:07:41",-500,16,15.82,8000,-2.834545,-7480.748871,516.416584,90,C
Trades,Data,Order,Stocks,USD,MARA,"2025-06-12, 14:13:45",500,16.2,15.82,-8100,-2.744075,8102.744075,0,-190,O;P
Trades,Data,Order,Stocks,USD,MARA,"2025-07-02, 09:35:26",-500,16.32,17.8,8160,-2.82746,-7846.744075,310.428465,-740,C
Trades,Data,Order,Stocks,USD,MARA,"2025-07-09, 13:59:24",500,17.955,18.46,-8977.5,-2.739715,8980.239715,0,252.5,O
Trades,Data,Order,Stocks,USD,MARA,"2025-07-09, 14:08:12",-500,18.1,18.46,9050,-2.82746,-7999.217767,1047.954773,-180,C
Trades,Data,Order,Stocks,USD,MARA,"2025-07-09, 14:26:27",500,17.98,18.46,-8990,-2.73699,8992.73699,0,240,O
