Trades,Header,DataDiscriminator,Asset Category,Currency,Symbol,Date/Time,Quantity,T. Price,C. Price,Proceeds,Comm/Fee,Basis,Realized P/L,MTM P/L,Code
Trades,Data,Order,Stocks,SGD,C6L,"2024-02-21, 02:32:44","1,500",6.69,6.67,-10035,-8.75052,10043.75052,0,-30,O
Trades,Data,Order,Stocks,USD,AAPL,"2024-04-11, 14:14:18",60,173.67,175.04,-10420.2,-1.09,10421.29,0,82.2,O
Trades,Data,Order,Stocks,USD,AAPL,"2024-06-03, 15:36:09",30,193.5195,194.03,-5805.585,-1.09,5806.675,0,15.315,IA;O
Trades,Data,Order,Stocks,USD,AAPL,"2024-06-21, 14:03:25",-15,210.21,207.49,3153.15,-1.18826085,-2605.3225,546.639239,40.8,C
Trades,Data,Order,Stocks,USD,AAPL,"2024-07-02, 13:59:12",45,219.745,220.27,-9888.525,-1.09,9889.615,0,23.625,O
Trades,Data,Order,Stocks,USD,AMZN,"2024-01-09, 12:08:06",40,151.01,151.37,-6040.4,-1.09,6041.49,0,14.4,O
Trades,Data,Order,Stocks,USD,AMZN,"2024-04-29, 10:04:22",60,179.977,180.96,-10798.62,-1.09,10799.71,0,58.98,O
Trades,Data,Order,Stocks,USD,AXP,"2024-04-19, 12:27:21",50,228.1416,231.04,-11407.08,-1.09,11408.17,0,144.92,O;P
Trades,Data,Order,Stocks,USD,CMG,"2024-04-29, 13:15:17",3,3201.11,3209.47,-9603.33,-1.09,9604.42,0,25.08,O
Trades,Data,Order,Stocks,USD,GOOG,"2024-01-09, 12:06:49",50,142.445,142.56,-7122.25,-1.09,7123.34,0,5.75,O
Trades,Data,Order,Stocks,USD,GOOG,"2024-01-31, 11:43:12",30,143.738,141.8,-4312.14,-1.09,4313.23,0,-58.14,O
Trades,Data,Order,Stocks,USD,GOOG,"2024-02-08, 13:50:57",50,146.8,147.22,-7340,-1.09,7341.09,0,21,O
Trades,Data,Order,Stocks,USD,GOOG,"2024-07-31, 11:40:22",70,172.85,173.15,-12099.5,-1.09,12100.59,0,21,O;P
Trades,Data,Order,Stocks,USD,GOOGL,"2024-07-24, 11:58:52",60,172.66,172.63,-10359.6,-1.09,10360.69,0,-1.8,O
Trades,Data,Order,Stocks,USD,GOOGL,"2024-07-31, 11:39:32",-60,171.3205,171.54,10279.23,-1.412337624,-10360.69,-82.872338,-13.17,C;IA
Trades,Data,Order,Stocks,USD,GPRO,"2024-05-01, 09:46:13","-2,500",1.8,1.86,4500,-14.11659,-9763.4,-5277.51659,-150,C
Trades,Data,Order,Stocks,USD,IBIT,"2024-02-12, 09:30:01",100,27.54,28.66,-2754,-1.09,2755.09,0,112,O
Trades,Data,Order,Stocks,USD,IBIT,"2024-02-12, 09:30:01",300,27.54,28.66,-8262,-1.635,8263.635,0,336,O
Trades,Data,Order,Stocks,USD,IBIT,"2024-11-20, 10:36:27",200,54,53.72,-10800,-1.100464,10801.100464,0,-56,O
Trades,Data,Order,Stocks,USD,IBIT,"2024-11-21, 13:00:02",-200,56,55.9,11200,-1.4760344,-5509.635,5688.888966,20,C;P
Trades,Data,Order,Stocks,USD,IBIT,"2024-12-18, 12:59:06",100,59.575,57.18,-5957.5,-1.097848,5958.597848,0,-239.5,O
Trades,Data,Order,Stocks,USD,MARA,"2024-01-23, 12:51:10",300,16.286666667,16.11,-4886,-1.635,4887.635,0,-53,O;P
Trades,Data,Order,Stocks,USD,MARA,"2024-01-26, 15:57:43",-300,17.882,17.85,5364.6,-1.73606131,-4887.635,475.228939,9.6,C
Trades,Data,Order,Stocks,USD,MARA,"2024-02-01, 10:47:42",500,17.5,18.6,-8750,-2.725,8752.725,0,550,O
Trades,Data,Order,Stocks,USD,MARA,"2024-02-01, 12:50:16",-500,18.6,18.6,9300,-2.896566,-8752.725,544.378434,0,C
Trades,Data,Order,Stocks,USD,MARA,"2024-02-02, 12:57:04",500,18,18.2,-9000,-2.725,9002.725,0,100,O
Trades,Data,Order,Stocks,USD,MARA,"2024-02-05, 09:57:41",300,17.4,16.64,-5220,-1.635,5221.635,0,-228,O
